Дата проведения,Название выставки,Клуб-организатор
18-19 мая 2019г.,«МИЛЛИОН ДРУЗЕЙ»,КЛК Баст	;
18-19 мая 2019г.,«ВЕСЕННИЙ ВЕРНИСАЖ»,Felidae;
18-19 мая 2019г.,«РОЗОВЫЙ КОТ»,CatExpo;
18 мая 2019г.,«ХОРОВОД КОТОВ»,"ФПЦ ""Царство Кошек"";"
9-10 мая 2019г.,«ЛУЧШИЙ ВЕСЕННИЙ КОТ»,МОКЛК Валенсия	;
4-5 мая 2019г.,«ЗОЛОТАЯ КОШКА ЕКАТЕРИНБУРГА»,Элиткэт;
4-5 мая 2019г.,«КОТ-ИНФО»,КЛК  Кот-Инфо ;
27-28 апреля 2019г.,«АПРЕЛЬСКОЕ МУРРЧАНИЕ»,КЛК Талисман	;
27-28 апреля 2019г.,«ГРАНДИОЗНАЯ КОТОЯРМАРКА»,Грандиозные Кошки;
27-28 апреля 2019г.,«РОСКОШНАЯ ВЕСНА В СОКОЛЬНИКАХ»,ФК РосКош;
27-28 апреля 2019г.,«СИБИРИАДА 2019»,НП КЛК Котомир;
27-28 апреля 2019г.,«АРЕВИК	»,КЛК Аревик	;
21 апреля 2019г.,«КОТ-ИНФО»,"КЛК ""ФАУНА"";"
20 апреля 2019г.,«КОТИКИ НА УДАЧУ»,Мега-Центр;
20-21 апреля 2019г.,«ВЕСЕННИЙ КАРНАВАЛ»,КЛК Царство Кошек;
20-21 апреля 2019г.,«ЗОЛОТАЯ КОШКА МИНСКА»,БФЦ Фелита;
20-21 апреля 2019г.,«ФРЕЯ»,Клуб ФРЕЯ;
20-21 апреля 2019г.,«АПРЕЛЬСКАЯ КОТФЕРЕНЦИЯ»,КЛК Найт Хантер;
20-21 апреля 2019г.,«РЕКЛАМНАЯ»,Баст-Москва	;
20-21 апреля 2019г.,«FELIS-APRELIS-2»,IFC Felis;
20-21 апреля 2019г.,"«КОШКИ, СОЛНЦЕ И ВЕСНА!»",ФПЦ Грация-НН;
20 апреля 2019г.,«КОСМОС»,КЛК Демарис;
20-21 апреля 2019г.,"«ПРЯНИЧНЫЕ КОШКИ, XIII СЕЗОН»",КЛК Микс;
20 апреля 2019г.,«ВЕСЕННЯЯ КОТОВАСИЯ»,КЛК TRI-S CAT Club;
14 апреля 2019г.,«КУБОК ЛЕОПОЛЬДА»,ФПЦ Леопольд ;
14 апреля 2019г.,«УДИВИТЕЛЬНЫЕ КОШКИ»,Гранд+;
13-14 апреля 2019г.,«КЭТ-ПАРАД X»,КЛК Амулет-Кэт;
13-14 апреля 2019г.,«КЭТ-САЛОН-АПРЕЛЬ»,КЛК Москва;
13-14 апреля 2019г.,«ПРЯНИЧНЫЕ КОТИКИ»,Hunter;
13-14 апреля 2019г.,«ВЕСЕННИЕ СМОТРИНЫ»,КЛК РосКэт	;
13-14 апреля 2019г.,«МАГИЯ КОШЕК»,КЛК Фрейя;
7 апреля 2019г.,«ПЛЕМЕННОЙ СМОТР»,КЛК Kaluga Best;
7 апреля 2019г.,«ЮБИЛЕЙНАЯ - КЛУБУ ФЕЛИС 30 ЛЕТ»,ОРФОО Клуб Любителей Кошек Фелис;
6-7 апреля 2019г.,"«КРАСКЕТС, КОМСОМОЛЛ И ВЕСНА!»",КЛК Krascats	;
6-7 апреля 2019г.,«ХРУСТАЛЬНЫЙ КУБОК»,КЛК Глория;
6-7 апреля 2019г.,«ОЛИМПИЙСКАЯ ЗВЕЗДА»,ВФЦ Астра;
6-7 апреля 2019г.,«АПРЕЛЬ НА ОРБИТЕ»,ФЦ КЛК Орбита;
6-7 апреля 2019г.,«КОРОЛЕВСКОЕ ШОУ ЦВЕТОВ И КОШЕК»,ФАЗ Королевские Кошки;
6-7 апреля 2019г.,«ЗОЛОТАЯ КОШКА САНКТ-ПЕТЕРБУРГ 2019»,Cat Land;
6-7 апреля 2019г.,«КУБОК САРАТОВА»,КЛК Кошкин Дом;
6-7 апреля 2019г.,«ЗОЛОТАЯ КОШКА ТВЕРИ»,ТPОО ФК Триумф;
30-31 марта 2019г.,«КУБОК LEORUSS-2018»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «ЛЕОРУСС»;
30 марта 2019г.,«ВЕСЕННЯЯ КОТОМАНИЯ»,КЛК Альфа	;
30-31 марта 2019г.,«FELINA BELISSIMA - 10»,МФЦ Фелис;
30-31 марта 2019г.,«КЭТ-САЛОН-МАРТ»,"КЛК ""Баст"" и КЛК ""Москва"";"
30-31 марта 2019г.,«25 ЛЕТ МФА»,"Фелинологический Центр ""Фелиссента"";"
30 марта 2019г.,«ХВОСТА НЕТ?»,КЛК ЭльГранд;
23-24 марта 2019г.,«МOНОМАХ»,"Клуб любителей кошек ""МОНОМАХ"";"
23-24 марта 2019г.,«FINAL RUSSIA-2018»,"УРОФО ""Грация"";"
23-24 марта 2019г.,«ГРАНДИОЗНАЯ КОТОЯРМАРКА»,"АФК ""Грандиозные кошки"" ;"
23-24 марта 2019г.,«ЁЖКИН КОТ»,ФЦ Алиса;
23-24 марта 2019г.,«ТЕПЛЫЙ КОТ 2019»,ФАЗ Алиса;
23-24 марта 2019г.,«ВЕСЕННИЙ БОМОНД»,СГОО ФПЦ Кэтти;
16-17 марта 2019г.,«ЗООМИР ЮГА РОССИИ - 2019»,Клуб Любителей Кошек «ИРБИС» и Фелинологический Клуб «РосКош»;
16-17 марта 2019г.,«ЗООШОУ»,АКЛК Котофей;
16-17 марта 2019г.,«ЗООШОУ ВЕСНА-2019»,КЛК Кэт-клуб СПб;
16-17 марта 2019г.,«25 ЛЕТ МФА»,КЛК Ирида;
16-17 марта 2019г.,«ЗОЛОТОЙ ГЛАММУР»,РОО КФПЦ Золотой Торум;
10 марта 2019г.,"«ВО, БЛИН, КОТ!»","КЛК ""Барс"";"
9-10 марта 2019г.,«ВСЁ КОТУ МАСЛЕННИЦА!»,FeliTerra (Catland NN);
9-10 марта 2019г.,«НА МАСЛЕНИЦУ - В ТВЕРЬ!»,"Клуб ""Альфа Кот"" ;"
8 марта 2019г.,«КУБОК ВЕЛИКОГО НОВГОРОДА»,АКЛК Котофей;
8-9 марта 2019г.,«ЕЁ ВЕЛИЧЕСТВО КОШКА»,МФЦ Мега-Центр;
8-9 марта 2019г.,«BABY SALON»,КЛК Параллель;
8-10 марта 2019г.,«МОСКОВСКОЕ СУПЕР ШОУ ОЛСК»,Объединение Любителей Сибирских Кошек им. Павловой Т.Е.;
8-9 марта 2019г.,«ПАМЯТИ НАТАЛИИ ВЕТРОВОЙ»,Клуб Любителей Кошек «Белиссима»;
8-9 марта 2019г.,«КЭТ»,ЧГООЛК «КЭТ» (г. Череповец) и Элитар клуб (г. Пенза);
3-4 марта 2019г.,«LADIES AND CATS»,КЛК Бисер	;
2-3 марта 2019г.,«КЭТСБУРГ»,"КЛК Ша-Нуар, СуперКэтс, РосКош, Кристал, КитежЪ;"
2-3 марта 2019г.,«БАСТЕТ-ШОУ»,"Клуб Любителей Кошек "" БАСТ"" ;"
2 марта 2019г.,«В ГОСТЯХ У «САФФИ»»,"Клуб ОЛЖ ""САФФИ"" ;"
23-24 февраля 2019г.,«КУБОК БЕЛГОРОДА ГОРОДА»,КЛК Кошки Белогорья;
23-24 февраля 2019г.,«ЗИМНИЙ КУБОК «КОТ-ИНФО»»,КЛК КОТ-ИНФО	;
23-24 февраля 2019г.,«КЭТ-САЛОН-ФЕВРАЛЬ»,КЛК Москва	;
23-24 февраля 2019г.,«ЗОЛОТАЯ КОШКА КРЫМА»,Гарфильд;
16-17 февраля 2019г.,«ЗИМНИЙ КАРНАВАЛ»,КЛК Царство Кошек;
16-17 февраля 2019г.,«KOTOFEY&AK BARS»,AKLK «Kotofey» & MFC «Ak Bars»;
16-17 февраля 2019г.,«ВЕСЕННЕЕ НАСТРОЕНИЕ НА ОРБИТЕ»,ФЦ КЛК Орбита;
16-17 февраля 2019г.,«ИТОГОВАЯ WFA»,ФПЦ «Мистикет» (FBC “MystiCat”) & НП ФК «Альянс» (FK “Alliance”) ;
16-17 февраля 2019г.,«КУБОК СТАВРОПОЛЬСКОГО КРАЯ»,КЛК Ирбис;
9-10 февраля 2019г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,РФОО «Коргоруши»;
9-10 февраля 2019г.,«КОШАЧЬИ ВАЛЕНТИНКИ - 2019»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «ДОБРЫЙ КОТ»;
9-10 февраля 2019г.,«КУБОК ЕВРАЗИИ - 2019»,Клуб любителей кошек «Евразия»;
9-10 февраля 2019г.,«ПАРАД КОТОВ»,КЛК «МЕЧТА»;
9-10 февраля 2019г.,«УШИ - ЛАПЫ - ХВОСТ»,"ГОО КЛК ""Самарская Лука"";"
9-10 февраля 2019г.,«ТРИ МУШКЕТЕРА В ПОИСКАХ Д'АРТАНЬЯНА»,"Клуб любителей кошек ""Алиса-Бест"";"
2-3 февраля 2019г.,«В ГОСТЯХ У СКАЗКИ»,ФЦ Алиса;
2-3 февраля 2019г.,«БЕЛО-ГОЛУБОЙ ФЕВРАЛЬ»,Elit Cats club;
2-3 февраля 2019г.,«МИСТЕР КОТ»,МОКЛК Валенсия;
2-3 февраля 2019г.,«МОРОЗНЫЙ ИНЕЙ ФЕВРАЛЯ»,КОТОФЕЙ;
26 января 2019г.,«ИМПЕРАТОРСКИЕ МЕЙН-КУНЫ»,Лига Заводчиков Кошек;
19-20 января 2019г.,««КУБОК ВОРОНЕЖА»»,КЛК Параллель;
19-20 января 2019г.,«ТЁПЛЫЕ КОТЫ»,"Клуб любителей кошек ""Деннис"";"
13 января 2019г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ ПОРОД»,"""Экстра-Кэт"" и ""Лигра"" ;"
12-13 января 2019г.,«БАСТЕТ-ШОУ ЯНВАРСКИЙ КОТЛЕНД»,КЛК Баст;
12-13 января 2019г.,«МАНДАРИНОВЫЙ КОТ»,ОФО Фрея;
12-13 января 2019г.,«ЗОЛОТАЯ КОШКА РОССИИ»,"Cat Land, Cat Land IL;"
7 января 2019г.,«КОТОВСТРЕЧИ НА РОЖДЕСТВО»,клуб «Котомир»;
7-8 января 2019г.,«РОЖДЕСТВЕНСКИЕ КОШАРИКИ ШОУ!»,МОКЛК Валенсия	;
5-6 января 2019г.,«ЮБИЛЕЙНАЯ»,КЛК Аревик	;
5-6 января 2019г.,«КУБОК ЧЕРНОЗЕМЬЯ»,КЛК Баст;
5-6 января 2019г.,«РОЖДЕСТВЕНСКИЕ КАНИКУЛЫ»,КЛК Нева;
5-6 января 2019г.,«ГРАН-ПРИ СИБИРИ 2019»,КЛК Королевская династия	;
4-6 января 2019г.,«РОЖДЕСТВЕНСКИЕ ЗВЕЗДЫ»,ВФЦ АСТРА;
29-30 декабря 2018г.,«НОВОГОДНЯЯ ФЕЕРИЯ»,КЛК FeliCity;
29-30 декабря 2018г.,«НОВОГОДНЕЕ ШОУ»,Белиссима;
22-23 декабря 2018г.,«ХИТРЫЙ ШАНС»,Elitar-Klub;
22-23 декабря 2018г.,«PEARL JUBILEE SHOW»,МОКЛК Валенсия	;
22 декабря 2018г.,«ВСТРЕЧА ДРУЗЕЙ»,ФЦ Сараби;
22-23 декабря 2018г.,«НОВОГОДНЯЯ»,КЛК Алиса-Бест;
22-23 декабря 2018г.,«PEARL JUBILEE SHOW»,"Клуб ""ФелиСити"";"
16 декабря 2018г.,«НОВОГОДНИЙ ПОДАРОК»,ФПЦ Леопольд ;
15-16 декабря 2018г.,«ЗИМНЕЕ ШОУ»,КЛК Параллель;
15-16 декабря 2018г.,«НАШЕМУ КЛУБУ 30 ЛЕТ»,Kaluga Best;
15-16 декабря 2018г.,«ЖЕМЧУЖНЫЙ БОМОНД»,"Клуб любителей кошек ""ЗООМИР"";"
15-16 декабря 2018г.,«РЕПЕТИЦИЯ НОВОГО ГОДА»,Грация-НН;
15-16 декабря 2018г.,«РОЖДЕСТВЕНСКИЕ ЧУДЕСА КОТОФЕЯ»,"АКЛК ""Котофей"";"
15-16 декабря 2018г.,«ЗООШОУ ЗИМА-2018»,Кэт-клуб СПб;
15-16 декабря 2018г.,«ЗИМНИЕ ВЕЧЕРА В СОЧИ»,КЛК Диамант-Кристалл	;
15-16 декабря 2018г.,«С ЛЕГКИМ ПАРОМ»,КЛК Yugra Cat Club	;
8-9 декабря 2018г.,«ЗИМНИЕ КРАСКИ»,КЛК Акварель;
8-9 декабря 2018г.,«КУБОК FARUS»,"""Галерея Мир кошек"" - МКАД 32 км. ТЦ Шелковый путь;"
8-9 декабря 2018г.,«КУБОК РЫБИНСКА»,Infiniti;
8-9 декабря 2018г.,«ЗИМНЯЯ СКАЗКА»,ОО СКЛК «Дивные кошки»;
1-2 декабря 2018г.,«ЗОЛОТАЯ КОШКА ВЕЛИКОГО НОВГОРОДА»,"Cat Land, Cat Land IL	;"
1-2 декабря 2018г.,«ЗИМНИЙ ЗВЕЗДОПАД»,КЛК «Мандарин»;
1-2 декабря 2018г.,«ЗИМНИЙ ВЕРНИСАЖ»,КЛК Felidae;
1-2 декабря 2018г.,«РОСКОШНАЯ ЗИМА»,КЛК РосКош;
1-2 декабря 2018г.,«CAT-EXPO 2018»,КЛК Кэт;
1-2 декабря 2018г.,«DISCOVERY YAROSLAVL WINTER»,TICA клуб JetCat;
24-25 ноября 2018г.,«БАРС»,"Фелинологический центр ""Барс"";"
24 ноября 2018г.,«ГРАНДИОЗНАЯ КОТОЯРМАРКА»,Грандиозные Кошки/Grandicats;
24-25 ноября 2018г.,«МОСКОВСКИЕ КАНИКУЛЫ»,Neva Cat Club	;
17-18 ноября 2018г.,«ОСЕННИЙ КАРНАВАЛ»,КЛК Царство Кошек;
17-18 ноября 2018г.,«ЗОЛОТАЯ КОШКА КИРОВА - 4 ОЦЕНКИ ЗА 2 ДНЯ»,Магия кошек;
17-18 ноября 2018г.,«КЭТ-САЛОН-НОЯБРЬ»,КЛК Москва;
17-18 ноября 2018г.,«VIP-SHOW 2018»,КЛК Бисер;
17-18 ноября 2018г.,«ЦЫГАНСКОЕ ЛЕТО 2»,Alisa-Best Cat Club	;
17-18 ноября 2018г.,«КОШКИ В СТИЛЕ БОХО»,СГОО КЛК Маркиза;
17-18 ноября 2018г.,«ДРАГОЦЕННАЯ БОГЕМА»,ФЦ Богема;
17-18 ноября 2018г.,«ФЕСТИВАЛЬ КOШЕК»,КЛК Uralcat;
10-11 ноября 2018г.,«ОСЕННЯЯ КОТОМАНИЯ»,КЛК Альфа;
10-11 ноября 2018г.,«ОСЕННИЙ КУБОК   КОТ-ИНФО»,ЛК ФАУНА и Ассоциация Кот-Инфо  WCF;
10-11 ноября 2018г.,«CATEXPO»,КЛК CatExpo;
10-11 ноября 2018г.,«ЗОЛОТАЯ КОШКА НОВОСИБИРСКА»,ФПЦ Зоостар	;
10-11 ноября 2018г.,«КОТ В САПОГАХ 2018»,ФАЗ Алиса;
10-11 ноября 2018г.,«МИ-МИ – КОШКИ»,КЛК Самарская Лука;
10-11 ноября 2018г.,«ЗОЛОТАЯ КОШКА ТВЕРИ»,Фелинологический Клуб «ТРИУМФ»;
10-11 ноября 2018г.,«МАГИЯ КОШЕК»,КЛК Фрейя;
3-4 ноября 2018г.,«КОТ 2 ТЕРРИТОРИЯ ЛЮБВИ»,КЛК ЭльГранд;
3-4 ноября 2018г.,«AK BARS»,КЛК Kotofey&Ak Bars;
3 ноября 2018г.,«НКОШКИ В ЛУКОШКЕ»,КЛК «Алиса Коломна»;
3-4 ноября 2018г.,«МАТИЛЬДА В МУЗЕЕ»,КЛК «Матильда»;
3-4 ноября 2018г.,«У ЛУКОМОРЬЯ»,ФЦ Алиса;
3-4 ноября 2018г.,«ГРАН-ПРИ ПОВОЛЖЬЯ»,ООЛЖ Элитар-клуб;
3-4 ноября 2018г.,"«ПРЯНИЧНЫЕ КОШКИ, XII СЕЗОН»",Тульский клуб любителей кошек МИКС;
28 октября 2018г.,«CFA SHOW»,"CFA клуб ""Chatte Noir"";"
27-28 октября 2018г.,«ОСЕННИЕ СМОТРИНЫ»,"«Элитар-Клуб», при содействии клуба любителей кошек «ЛЮКС»;"
27-28 октября 2018г.,«ОСЕННИЙ ВЕРНИСАЖ»,"УРОФО ""Грация"";"
27-28 октября 2018г.,«ЗОЛОТАЯ КОШКА ЙОШКАР-ОЛЫ»,"Фелинологический центр ""Йошкин кот"";"
27-28 октября 2018г.,«PEARL JUBILEE»,МФЦ «Фелис»;
27-28 октября 2018г.,«КУБОК САРАТОВА »,Саратовский КЛК «Кошкин Дом»;
27-28 октября 2018г.,«КУБОК СОСНОВОГО БОРА – РУССКИЕ УЗОРЫ»,"АКЛК Котофей, КЛК Сайме;"
27-28 октября 2018г.,«ЗОЛОТОЙ ГЛАМУРР»,Золотой Торум;
22 октября 2018г.,«ЕНИСЕЙСКИЙ МЕРИДИАН»,Ковчег;
20-21 октября 2018г.,«КУБОК БЕЛОГО ГОРОДА»,КЛК Кошки Белогорья;
20-21 октября 2018г.,«ВЛАДИМИРСКАЯ ОСЕНЬ»,"АКЛК «Котофей» (г. Санкт-Петербург), КЛК «Мономах» (г. Владимир);"
20 октября 2018г.,«ЗОЛОТОЙ ТАЛИСМАН»,КЛК Талисман;
20-21 октября 2018г.,«КЭТ-САЛОН-ОКТЯБРЬ»,"Клуб любителей кошек ""Москва"";"
20-21 октября 2018г.,«МИЛЛИОН ДРУЗЕЙ»,ФПЦ «Грация-НН»;
20-21 октября 2018г.,«СЕЗОН В НИЖНЕМ - 2018»,Сибериус;
20-21 октября 2018г.,«КОСМОКОТ 2018»,"КЛК ""ПРОГРЕСС"";"
20 октября 2018г.,«ЖАРА»,КЛК Демарис	;
20-21 октября 2018г.,«ЗОЛОТАЯ ОСЕНЬ»,ФПЦ “KЭТТИ”;
13-14 октября 2018г.,«КЭТ-ПАРАД-IX»,КЛК Амулет-Кэт;
13-14 октября 2018г.,«ОСЕННИЙ КУБОК МЭРА»,"КЛК ""Савой"", Галерея Мир Кошек;"
13 октября 2018г.,«ЗАМУРЧАТЕЛЬНЫЕ КОТЫ»,ФПЦ Царство кошек;
13-14 октября 2018г.,«МИР КОШЕК-2018»,Кэт-клуб СПб;
13-14 октября 2018г.,«ТЕПЛЫЕ КОТЫ»,ФК Альфа Кот;
7 октября 2018г.,«ЗОЛОТАЯ ОСЕНЬ НА ОРБИТЕ»,ФЦ КЛК Орбита;
6-7 октября 2018г.,«ASIA CONTINENT SHOW»,Cat-Info/ Элиткэт;
6-7 октября 2018г.,«ЖЕМЧУЖНАЯ ОСЕНЬ 2018»,Клуб Коргоруши;
6-7 октября 2018г.,«КОШАРИКИ ШОУ »,МОКЛК Валенсия;
6-7 октября 2018г.,«ИМЕНИНЫ ДОБРОГО КОТА»,КЛК Добрый Кот;
6-7 октября 2018г.,«ОСЕННИЕ СМОТРИНЫ»,"Клуб ""РосКош"" г.Москва при содействии Клуба «РосКэт» г.Рязань;"
5-7 октября 2018г.,«ЗВЕЗДА ЧЕРНОЗЕМЬЯ»,КЛК LEORUSS;
29 сентября 2018г.,«КУБОК ВЕЛИКОГО НОВГОРОДА»,АКЛК Котофей;
29 сентября 2018г.,«ОСЕННЕЕ ОЧАРОВАНИЕ»,Клуб Любителей Кошек «МагияКис»;
29-30 сентября 2018г.,«ВОЗРОЖДЕНИЕ ЛЕГЕНДЫ»,АЛЖ «Найт Хантер»;
29-30 сентября 2018г.,«КОТЯТ ПО ОСЕНИ СЧИТАЮТ»,FeliTerra (Catland NN) ;
29-30 сентября 2018г.,«КОТОМИР-ШОУ 2018»,КЛК Котомир;
29-30 сентября 2018г.,«ЗОЛОТАЯ КОШКА»,Элитар-клуб;
29-30 сентября 2018г.,«КОШАЧИЙ БЛЮЗ»,Cats & Company;
23 сентября 2018г.,«САНТАНА»,КЛК Сантана;
22 сентября 2018г.,«PEARL JUBILLE SHOW»,ОФО Фрея;
22-23 сентября 2018г.,«ASIA CONTINENT SHOW»,"ООПК КЛЖ ""Элита"";"
22-23 сентября 2018г.,«ЧЕРНЫЙ КОТ»,ИРОО ФК Черный Кот;
22-23 сентября 2018г.,«ОСЕННИЙ КУБОК  КОТ-ИНФО»,КЛК ФАУНА и Ассоциация Кот-Инфо;
22-23 сентября 2018г.,«TANAIS CAT»,КЛК Tanais Cat;
22-23 сентября 2018г.,«ЗОЛОТАЯ КОШКА УФЫ!»,Фелинологическая Федерация Республики Башкортостан;
15-16 сентября 2018г.,«АЛИСА»,"ФЦ ""Алиса"";"
15-16 сентября 2018г.,«В ЧЕСТЬ 30-ЛЕТИЯ WCF»,"Клуб любителей кошек ""Бастис"";"
15-16 сентября 2018г.,«ЗВЕЗДА 2018»,ВФЦ АСТРА;
15-16 сентября 2018г.,«FOREST CAT SHOW»,Felidae;
15-16 сентября 2018г.,«FOREST CAT SHOW»,CatExpo Cat Club;
15-16 сентября 2018г.,«ЗОЛОТАЯ КОШКА ТОЛЬЯТТИ»,"КЛК Lord Cats (TICA), КЛК Феличита (WCF);"
